ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Name=\"Title\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" Group=\"_Hidden\" Type=\"Text\" DisplayName=\"Title\" Required=\"FALSE\" FromBaseType=\"TRUE\" DelayActivateTemplateBinding=\"GROUP,SPSPERS,SITEPAGEPUBLISHING\" Sealed=\"FALSE\" />","<Field Type=\"Text\" Name=\"CustomerName\" DisplayName=\"Customer Name\" ID=\"{e7d28ea4-c0ce-4ab9-bba2-f341b7ed320b}\" Group=\"\" Required=\"TRUE\" StaticName=\"CustomerName\" />","<Field Type=\"URL\" Name=\"Website\" DisplayName=\"Website\" ID=\"{b2f2b4bc-e462-467f-982a-59952dda22c0}\" Group=\"\" Required=\"FALSE\" StaticName=\"Website\" />","<Field Type=\"Text\" Name=\"NAICSSector\" DisplayName=\"NAICS code\" ID=\"{7a324c53-cfe5-45eb-a2eb-49312f51a589}\" Group=\"\" Required=\"FALSE\" StaticName=\"NAICSSector\" />","<Field Type=\"Choice\" Name=\"CustomerStatus\" DisplayName=\"Status\" ID=\"{9457052f-ac2d-492b-a9f8-76a19c6adae6}\" Group=\"\" Required=\"FALSE\" StaticName=\"CustomerStatus\"><CHOICES><CHOICE>Prospect</CHOICE><CHOICE>Active</CHOICE><CHOICE>Inactive</CHOICE><CHOICE>Lost</CHOICE></CHOICES></Field>","<Field Type=\"Text\" Name=\"PrimaryContact\" DisplayName=\"Primary Contact\" ID=\"{abda0385-bbb5-4171-992f-21b715142d3d}\" Group=\"\" Required=\"TRUE\" StaticName=\"PrimaryContact\" />","<Field Type=\"Text\" Name=\"PrimaryContactTitle\" DisplayName=\"Primary Contact Title\" ID=\"{5cad8c37-798d-4328-9e34-71861a2f0c2a}\" Group=\"\" Required=\"FALSE\" StaticName=\"PrimaryContactTitle\" />","<Field Type=\"Text\" Name=\"AlternateContact\" DisplayName=\"Alternate Contact\" ID=\"{10809d5f-da38-4981-8067-47a1658ed600}\" Group=\"\" Required=\"FALSE\" StaticName=\"AlternateContact\" />","<Field Type=\"Text\" Name=\"AlternateContactTitle\" DisplayName=\"Alternate Contact Title\" ID=\"{86040bfe-c1e8-4c62-ab1b-f74765838359}\" Group=\"\" Required=\"FALSE\" StaticName=\"AlternateContactTitle\" />","<Field Type=\"Text\" Name=\"AlternateContact2\" DisplayName=\"Alternate Contact 2\" ID=\"{06850b8b-0a3a-4e47-978d-da4c6af49f1e}\" Group=\"\" Required=\"FALSE\" StaticName=\"AlternateContact2\" />","<Field Type=\"Text\" Name=\"AlternateContact2Title\" DisplayName=\"Alternate Contact 2 Title\" ID=\"{898745c0-3904-4e1c-af05-f73540b1882a}\" Group=\"\" Required=\"FALSE\" StaticName=\"AlternateContact2Title\" />","<Field ID=\"{c042a256-787d-4a6f-8a8a-cf6ab767f12d}\" Type=\"Computed\" DisplayName=\"Content Type\" Name=\"ContentType\" DisplaceOnUpgrade=\"TRUE\" RenderXMLUsingPattern=\"TRUE\" Sortable=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"ContentType\" Group=\"_Hidden\" PITarget=\"MicrosoftWindowsSharePointServices\" PIAttribute=\"ContentTypeID\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"ContentTypeId\" /></FieldRefs><DisplayPattern><MapToContentType><Column Name=\"ContentTypeId\" /></MapToContentType></DisplayPattern></Field>"]}
"Customer Name","Website","NAICS code","Status","Primary Contact","Primary Contact Title","Alternate Contact","Alternate Contact Title","Alternate Contact 2","Alternate Contact 2 Title"
"ACME Corporation","https://acme.com","541511","Active","John Smith","CEO","Jane Doe","VP Sales","Bob Wilson","CTO"
"Global Industries","https://globalindustries.com","336411","Prospect","Sarah Johnson","Director","Mike Brown","Manager","Lisa Davis","Coordinator"
"Tech Solutions Inc","https://techsolutions.com","541512","Active","David Lee","Founder","Emily Chen","COO","Alex Rodriguez","CFO"
"Manufacturing Plus","https://manufacturingplus.com","332710","Active","Robert Taylor","Plant Manager","Jennifer White","Operations Director","Mark Thompson","Quality Manager"
"Healthcare Partners","https://healthcarepartners.com","621111","Prospect","Dr. Maria Garcia","Chief Medical Officer","James Anderson","Administrator","Susan Miller","Finance Director"
"Financial Dynamics","https://financialdynamics.com","522110","Active","Peter Jackson","President","Mary Wilson","VP Operations","Tom Harris","CFO"
"Retail Excellence","https://retailexcellence.com","452210","Prospect","Amanda Clark","Store Manager","Kevin Martinez","Regional Director","Nicole Brown","Merchandising Manager"
"Energy Solutions Group","https://energysolutions.com","221112","Active","Michael Turner","Engineering Director","Rachel Green","Project Manager","Daniel White","Safety Coordinator"
"Construction Dynamics","https://constructiondynamics.com","236220","Active","Steve Robinson","General Manager","Linda Moore","Office Manager","Gary Thompson","Site Supervisor"
"Education First","https://educationfirst.com","611110","Prospect","Dr. Jennifer Adams","Superintendent","Robert Lewis","IT Director","Susan Walker","Curriculum Director"
"Transport Logistics","https://transportlogistics.com","484110","Active","Carlos Rodriguez","Fleet Manager","Angela Davis","Operations Manager","Bryan Miller","Maintenance Supervisor"
"Food Service Partners","https://foodservicepartners.com","722511","Prospect","Maria Gonzalez","General Manager","John Wilson","Kitchen Manager","Lisa Garcia","Service Manager"
"Professional Services Group","https://professionalservices.com","541110","Active","Thomas Anderson","Managing Partner","Patricia Taylor","Senior Associate","Richard Brown","Operations Manager"
"Media Communications","https://mediacommunications.com","541810","Active","Jessica Williams","Creative Director","Andrew Johnson","Production Manager","Michelle Davis","Account Manager"
"Pharmaceutical Research","https://pharmresearch.com","325412","Prospect","Dr. William Chen","Research Director","Karen Lee","Lab Manager","David Kim","Regulatory Affairs"
"Real Estate Ventures","https://realestateventures.com","531210","Active","Catherine Moore","Broker","James Parker","Property Manager","Sandra Clark","Development Manager"
"Insurance Specialists","https://insurancespecialists.com","524210","Prospect","Robert Martinez","Agency Owner","Nancy Thompson","Claims Manager","Paul Anderson","Underwriter"
"Agricultural Systems","https://agriculturalsystems.com","111110","Active","Frank Wilson","Farm Manager","Helen Garcia","Crop Specialist","Mark Rodriguez","Equipment Manager"
"Hotel Management Group","https://hotelmanagement.com","721110","Active","Diana Adams","General Manager","Christopher Lee","Front Desk Manager","Maria Santos","Housekeeping Manager"
"Automotive Parts Plus","https://autopartsplus.com","441310","Prospect","Gregory Johnson","Store Manager","Brenda Davis","Parts Specialist","Tony Martinez","Service Advisor"
"Textile Manufacturing","https://textilemanufacturing.com","313210","Active","Victoria Brown","Production Manager","Samuel Wilson","Quality Control","Rebecca Taylor","Logistics Coordinator"
"Environmental Services","https://environmentalservices.com","562910","Prospect","Jonathan Green","Environmental Engineer","Laura Miller","Project Coordinator","Kevin White","Field Technician"
"Sports & Recreation","https://sportsrecreation.com","713940","Active","Marcus Johnson","Facility Manager","Stephanie Clark","Program Director","Derek Anderson","Maintenance Manager"
"Security Solutions","https://securitysolutions.com","561612","Active","Raymond Davis","Security Director","Carol Thompson","Operations Manager","Eugene Garcia","Technical Specialist"
"Chemical Processing","https://chemicalprocessing.com","325180","Prospect","Donna Martinez","Plant Manager","Albert Rodriguez","Process Engineer","Ruth Wilson","Safety Manager"
"Publishing House","https://publishinghouse.com","511130","Prospect","Arthur Lee","Editor-in-Chief","Evelyn Brown","Production Manager","Walter Kim","Marketing Director"
"Mining Operations","https://miningoperations.com","212230","Active","Harold Johnson","Site Manager","Gloria Davis","Safety Coordinator","Ralph Martinez","Equipment Supervisor"
"Telecommunications Inc","https://telecommunications.com","517110","Active","Betty Wilson","Network Manager","Ernest Thompson","Technical Support","Mildred Garcia","Customer Service Manager"
"Waste Management Co","https://wastemanagement.com","562111","Prospect","Gerald Rodriguez","Operations Director","Joan Anderson","Route Manager","Frank Miller","Disposal Coordinator"
"Consulting Experts","https://consultingexperts.com","541611","Active","Louise Clark","Senior Consultant","Wayne Taylor","Project Manager","Theresa Brown","Business Analyst"
